game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,match_report
Y,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 1,Away,L 1-5,Aston Villa,Newcastle Utd,GK,Match Report
Y,2,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 2,Home,W 4-0,Aston Villa,Everton,GK,Match Report
Y,3,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 4,Away,L 0-3,Aston Villa,Liverpool,GK,Match Report
Y,4,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 5,Home,W 3-1,Aston Villa,Crystal Palace,GK,Match Report
Y,5,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 6,Away,W 1-0,Aston Villa,Chelsea,GK,Match Report
Y,6,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 7,Home,W 6-1,Aston Villa,Brighton,GK,Match Report
Y,7,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 8,Away,D 1-1,Aston Villa,Wolves,GK,Match Report
Y,8,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 9,Home,W 4-1,Aston Villa,West Ham,GK,Match Report
Y,9,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 10,Home,W 3-1,Aston Villa,Luton Town,GK,Match Report
Y,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 11,Away,L 0-2,Aston Villa,Nott'ham Forest,GK,Match Report
Y,11,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 12,Home,W 3-1,Aston Villa,Fulham,GK,Match Report
Y,12,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 13,Away,W 2-1,Aston Villa,Tottenham,GK,Match Report
Y,13,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 14,Away,D 2-2,Aston Villa,Bournemouth,GK,Match Report
Y,14,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wed,Premier League,Matchweek 15,Home,W 1-0,Aston Villa,Manchester City,GK,Match Report
Y,15,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 16,Home,W 1-0,Aston Villa,Arsenal,GK,Match Report
Y,16,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 17,Away,W 2-1,Aston Villa,Brentford,GK,Match Report
Y,17,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fri,Premier League,Matchweek 18,Home,D 1-1,Aston Villa,Sheffield Utd,GK,Match Report
Y,18,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tue,Premier League,Matchweek 19,Away,L 2-3,Aston Villa,Manchester Utd,GK,Match Report
Y,19,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 20,Home,W 3-2,Aston Villa,Burnley,GK,Match Report
Y,20,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 21,Away,D 0-0,Aston Villa,Everton,GK,Match Report
Y,21,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tue,Premier League,Matchweek 22,Home,L 1-3,Aston Villa,Newcastle Utd,GK,Match Report
Y,22,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 23,Away,W 5-0,Aston Villa,Sheffield Utd,GK,Match Report
Y,23,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 24,Home,L 1-2,Aston Villa,Manchester Utd,GK,Match Report
Y,24,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 25,Away,W 2-1,Aston Villa,Fulham,GK,Match Report
Y,25,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 26,Home,W 4-2,Aston Villa,Nott'ham Forest,GK,Match Report
Y,26,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 27,Away,W 3-2,Aston Villa,Luton Town,GK,Match Report
Y,27,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 28,Home,L 0-4,Aston Villa,Tottenham,GK,Match Report
Y,28,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 29,Away,D 1-1,Aston Villa,West Ham,GK,Match Report
Y,29,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 30,Home,W 2-0,Aston Villa,Wolves,GK,Match Report
Y,30,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 32,Home,D 3-3,Aston Villa,Brentford,GK,Match Report
Y,31,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 33,Away,W 2-0,Aston Villa,Arsenal,GK,Match Report
Y,32,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 34,Home,W 3-1,Aston Villa,Bournemouth,GK,Match Report
Y,33,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 35,Home,D 2-2,Aston Villa,Chelsea,GK,Match Report
Y,34,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mon,Premier League,Matchweek 37,Home,D 3-3,Aston Villa,Liverpool,GK,Match Report
