name,same_team,same_league,gk_saves,games,minutes,goals,assists,cards_yellow,passes,assisted_shots,tackles,interceptions,clearances,fouls,fouled,team,crosses,shots,shots_on_target
Guglielmo Vicario,False,False,95,31,0,0,0,3,1277,0,1,0,15,0,8,0,0,0,0
Pedro Porro,False,False,0,15,0,3,3,0,648,25,25,15,24,12,16,0,0,26,0
Son Heung min,False,False,0,36,0,10,6,2,909,61,24,13,6,13,36,0,0,81,0
Cristian Romero,False,False,0,27,0,0,1,11,1606,8,68,44,102,42,12,0,0,11,0
Dejan Kulusevski,False,False,0,30,0,2,7,2,746,47,38,13,7,36,25,0,0,43,0
Destiny Udogie,False,False,0,33,0,3,4,5,1127,34,71,36,25,37,58,0,0,27,0
Micky van de Ven,False,False,0,33,0,1,1,5,1758,6,45,26,108,23,27,0,0,16,0
Pape Matar Sarr,False,False,0,11,218,0,1,1,154,2,7,6,6,4,3,0,0,2,0
James Maddison,False,False,0,30,0,10,9,10,1150,69,51,13,6,31,79,0,0,83,0
Yves Bissouma,False,False,0,23,0,0,0,6,733,8,16,12,10,17,10,0,0,6,0
Brennan Johnson,False,False,0,38,0,8,3,6,505,28,34,5,7,37,21,0,0,52,0
Richarlison,False,False,0,27,0,1,3,3,279,16,21,5,10,14,22,0,0,27,0
Rodrigo Bentancur,False,False,0,18,0,5,2,8,880,11,45,20,22,24,8,0,0,15,0
Ben Davies,False,False,0,31,0,2,2,4,1281,20,28,18,72,30,17,0,0,14,0
Emerson,False,False,0,26,0,2,1,2,1060,9,54,18,75,21,33,0,0,17,0
Vladimir Coufal,False,False,0,27,0,0,1,5,1174,26,58,38,70,30,21,0,0,6,0
Emerson Palmieri,False,False,0,22,0,1,0,2,729,13,26,15,36,13,15,0,0,11,0
Jarrod Bowen,False,False,0,38,0,6,5,2,881,48,39,36,25,26,69,0,0,73,0
James Ward Prowse,False,False,0,38,0,9,4,6,2176,74,65,55,48,34,19,0,0,40,0
Tomas Soucek,False,False,0,36,0,2,3,3,994,15,77,53,71,50,16,0,0,34,0
Kurt Zouma,False,False,0,25,0,2,0,0,831,1,9,30,120,14,7,0,0,19,0
Alphonse Areola,False,False,9,5,309,0,0,0,92,0,0,0,0,1,0,0,0,0,0
Lucas Paqueta,False,False,0,28,0,4,3,5,1157,32,71,16,31,50,30,0,0,52,0
Edson Alvarez,False,False,0,31,0,3,3,10,2411,28,71,36,76,34,14,0,0,63,0
Mohammed Kudus,False,False,0,30,0,11,3,1,657,29,25,7,13,26,42,0,0,69,0
Nayef Aguerd,False,False,0,18,0,2,0,4,763,6,27,18,79,8,8,0,0,12,0
Michail Antonio,False,False,0,33,0,5,3,2,348,15,14,5,9,28,44,0,0,39,0
Konstantinos Mavropanos,False,False,0,28,0,2,1,9,1512,15,50,63,99,24,23,0,0,48,0
Lukasz Fabianski,False,False,106,36,0,0,0,1,930,0,2,0,10,0,4,0,0,0,0
Angelo Ogbonna,False,False,0,16,0,0,0,0,415,3,11,17,74,2,4,0,0,3,0
Max Kilman,False,False,0,37,0,0,0,3,2107,4,36,19,164,18,12,0,0,14,0
Nelson Semedo,False,False,0,36,0,0,1,11,1499,11,71,29,83,47,24,0,0,9,0
Jose Sa,False,False,105,36,0,0,0,2,1200,0,1,0,10,1,8,0,0,0,0
Mario Lemina,False,False,0,19,0,0,1,4,651,3,38,14,24,18,9,0,0,9,0
Joao Gomes,False,False,0,11,653,1,0,5,322,5,29,4,11,17,16,0,0,4,0
Toti Gomes,False,False,0,17,984,1,0,6,555,4,15,11,51,16,5,0,0,5,0
Matheus Cunha,False,False,0,17,965,2,0,1,234,7,7,9,11,20,21,0,0,26,0
Rayan Ait Nouri,False,False,0,21,0,1,0,4,578,7,33,9,28,15,11,0,0,10,0
Craig Dawson,False,False,0,17,0,1,0,4,926,1,9,12,74,11,10,0,0,11,0
Hwang Hee chan,False,False,0,27,0,3,1,1,280,10,20,5,5,20,19,0,0,18,0
Pablo Sarabia,False,False,0,13,765,1,0,3,365,11,12,2,4,13,8,0,0,20,0
Pedro Neto,False,False,0,18,964,0,0,1,384,20,11,4,4,8,15,0,0,17,0
Tommy Doyle,False,False,0,33,0,3,4,4,1144,35,31,17,33,15,17,0,0,44,0
Jean Ricner Bellegarde,False,False,0,30,0,2,6,5,1242,57,47,26,22,36,73,0,0,38,0
Matt Doherty,False,False,0,2,18,0,0,0,9,0,0,0,0,1,0,0,0,0,0
William Saliba,True,False,0,27,0,2,1,4,1865,6,34,19,85,19,13,0,0,6,0
Declan Rice,False,False,0,37,0,4,1,5,2135,37,79,63,58,23,11,0,0,35,0
Martin Odegaard,True,False,0,37,0,15,7,4,1804,76,36,6,12,30,26,0,0,93,0
Ben White,True,False,0,38,0,2,5,5,2242,26,60,22,79,28,30,0,0,10,0
Bukayo Saka,True,False,0,38,0,14,11,6,1430,75,63,14,19,43,65,0,0,86,0
Gabriel Magalhaes,True,False,0,38,0,3,0,5,2411,5,48,32,125,25,40,0,0,32,0
David Raya,False,False,154,38,0,0,0,1,1640,2,0,1,10,0,6,0,0,1,0
Kai Havertz,False,False,0,35,0,7,1,5,894,38,34,7,41,60,25,0,0,70,0
Gabriel Martinelli,True,False,0,36,0,15,5,3,1107,59,31,9,14,39,37,0,0,79,0
Oleksandr Zinchenko,True,False,0,27,0,1,2,3,1911,19,40,22,38,6,11,0,0,28,0
Leandro Trossard,True,False,0,20,931,1,10,0,452,22,12,6,3,9,17,0,0,17,0
Gabriel Jesus,True,False,0,26,0,11,6,6,699,31,33,11,15,43,56,0,0,76,0
Jakub Kiwior,True,False,0,7,427,1,0,0,205,1,7,6,10,1,1,0,0,1,0
Takehiro Tomiyasu,True,False,0,21,663,0,1,2,474,4,27,14,15,6,3,0,0,3,0
Eddie Nketiah,True,False,0,30,0,4,1,3,255,9,13,1,7,30,25,0,0,41,0
Ezri Konsa,True,False,38,0,0,0,6,8,1898,8,42,26,120,12,64,0,0,0,0
John McGinn,True,False,34,0,1,3,7,42,1028,18,66,24,19,41,66,0,0,0,0
Douglas Luiz,True,False,37,0,6,6,6,34,1812,45,72,40,27,48,42,0,0,0,0
Emiliano Martinez,True,False,36,0,0,0,7,0,1388,2,0,1,23,1,6,0,0,0,97
Pau Torres,False,False,34,0,1,0,10,12,2179,14,43,13,146,20,17,0,0,0,0
Lucas Digne,True,False,28,0,1,0,5,8,927,18,30,18,45,19,23,0,0,0,0
Moussa Diaby,False,False,33,0,9,8,4,79,1003,58,14,5,3,18,24,0,0,0,0
Matty Cash,True,False,26,0,0,1,4,7,1006,8,55,26,43,21,15,0,0,0,0
Leon Bailey,True,False,33,0,4,4,4,51,547,30,14,6,12,29,22,0,0,0,0
Diego Carlos,True,False,3,205,0,0,0,4,142,1,1,1,2,2,0,0,0,0,0
Boubacar Kamara,True,False,24,0,0,1,4,4,941,7,58,19,24,34,31,0,0,0,0
Youri Tielemans,False,False,31,0,3,2,4,29,1623,30,66,28,24,33,25,0,0,0,0
Clement Lenglet,False,False,26,0,0,2,4,13,1465,6,38,18,68,23,17,0,0,0,0
Alex Moreno,True,False,19,0,0,3,3,13,745,22,23,7,37,17,11,0,0,0,0
Illia Zabarnyi,True,False,5,299,0,0,0,0,200,0,4,3,14,1,2,0,0,0,0
Dominic Solanke,True,False,33,0,6,7,2,76,533,21,15,6,46,40,53,0,0,0,0
Ryan Christie,True,False,32,0,1,1,2,33,651,30,34,26,20,36,45,0,0,0,0
Neto,True,False,27,0,0,0,4,0,833,0,3,0,10,0,4,0,0,0,100
Lewis Cook,True,False,28,0,0,2,4,6,751,24,37,23,31,15,10,0,0,0,0
Marcos Senesi,True,False,31,0,2,0,7,8,1322,5,50,43,146,29,13,0,0,0,0
Justin Kluivert,False,False,26,0,6,0,4,43,399,23,17,7,4,24,19,0,0,0,0
Adam Smith,True,False,37,0,0,1,11,5,1264,16,49,25,81,29,27,0,0,0,0
Marcus Tavernier,True,False,23,0,5,4,1,37,724,19,33,9,23,21,28,0,0,0,0
Antoine Semenyo,True,False,11,258,1,0,0,3,57,2,1,2,4,6,5,0,0,0,0
Milos Kerkez,False,False,33,0,3,1,4,25,1592,31,54,31,59,38,37,0,0,0,0
Lloyd Kelly,True,False,23,0,0,2,3,3,1164,7,33,26,101,17,5,0,0,0,0
Philip Billing,True,False,36,0,7,1,5,38,1055,26,63,31,58,30,35,0,0,0,0
Max Aarons,False,False,45,0,1,3,10,20,2536,40,84,48,75,23,57,0,0,0,0
Dango Ouattara,True,False,19,0,1,3,1,26,334,18,28,13,29,6,15,0,0,0,0
Mark Flekken,False,False,34,0,0,0,0,0,1468,4,0,0,9,0,3,0,0,0,106
Vitaly Janelt,True,False,35,0,3,1,3,14,1020,16,54,29,26,22,21,0,0,0,0
Christian Norgaard,True,False,22,0,1,3,6,19,812,12,52,34,41,35,20,0,0,0,0
Nathan Collins,False,False,26,0,0,0,2,3,1138,2,27,21,84,17,9,0,0,0,0
Yoane Wissa,True,False,38,0,7,3,3,32,344,13,17,6,15,21,26,0,0,0,0
Ethan Pinnock,True,False,30,0,3,0,0,15,1149,8,52,35,215,6,10,0,0,0,0
Mathias Jensen,True,False,37,0,5,6,5,23,1566,48,71,32,24,32,25,0,0,0,0
Mads Roerslev,True,False,20,0,0,0,0,3,303,8,22,9,38,4,3,0,0,0,0
Bryan Mbeumo,True,False,38,0,9,8,5,70,991,51,26,13,21,27,23,0,0,0,0
Kristoffer Ajer,True,False,9,763,0,0,0,1,345,1,11,7,22,5,8,0,0,0,0
Ivan Toney,True,False,33,0,20,4,9,87,787,27,23,14,36,52,74,0,0,0,0
Keane Lewis Potter,True,False,10,321,0,1,0,7,86,5,1,0,2,1,4,0,0,0,0
Ben Mee,True,False,37,0,3,1,2,28,1761,8,45,48,122,14,15,0,0,0,0
Sergio Reguilon,False,False,11,309,0,0,3,3,147,7,7,2,4,4,6,0,0,0,0
Neal Maupay,False,False,27,0,1,0,4,32,253,7,11,5,0,14,21,0,0,0,0
Pascal Gross,False,False,37,0,9,8,6,39,2347,80,59,13,21,35,18,0,0,0,0
Lewis Dunk,False,False,36,0,1,0,4,22,3223,9,30,34,81,18,27,0,0,0,0
Jan Paul van Hecke,False,False,8,295,0,0,2,2,248,0,8,6,9,7,4,0,0,0,0
Simon Adingra,False,False,30,0,10,8,1,40,724,37,20,12,10,20,21,0,0,0,0
Billy Gilmour,False,False,14,507,0,1,1,6,408,2,5,6,5,8,3,0,0,0,0
Bart Verbruggen,False,False,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Welbeck,False,False,31,0,6,3,0,62,442,30,15,5,20,25,18,0,0,0,0
Joao Pedro,False,False,35,0,11,4,7,82,1334,45,56,23,25,39,79,0,0,0,0
Igor,False,False,27,0,0,0,10,7,1324,3,43,25,56,29,13,0,0,0,0
Joel Veltman,False,False,31,0,1,1,6,15,1512,10,62,19,51,27,38,0,0,0,0
Jason Steele,False,False,15,0,0,1,1,0,541,1,0,0,6,1,1,0,0,0,36
Facundo Buonanotte,False,False,13,565,1,1,2,11,194,6,2,4,3,9,7,0,0,0,0
Kaoru Mitoma,False,False,33,0,7,5,0,52,977,41,44,17,10,29,27,0,0,0,0
Evan Ferguson,False,False,19,950,6,2,1,36,225,11,6,2,6,9,11,0,0,0,0
Carlos Baleba,False,False,19,478,0,0,3,12,300,2,13,1,3,13,18,0,0,0,0
Ollie Watkins,True,False,37,0,15,6,4,84,566,31,19,10,39,26,39,0,0,0,0
Ezri Konsa,True,False,38,0,0,0,6,8,1898,8,42,26,120,12,64,0,0,0,0
John McGinn,True,False,34,0,1,3,7,42,1028,18,66,24,19,41,66,0,0,0,0
Douglas Luiz,True,False,37,0,6,6,6,34,1812,45,72,40,27,48,42,0,0,0,0
Emiliano Martinez,True,False,36,0,0,0,7,0,1388,2,0,1,23,1,6,0,0,0,97
Pau Torres,False,False,34,0,1,0,10,12,2179,14,43,13,146,20,17,0,0,0,0
Lucas Digne,True,False,28,0,1,0,5,8,927,18,30,18,45,19,23,0,0,0,0
Moussa Diaby,False,False,33,0,9,8,4,79,1003,58,14,5,3,18,24,0,0,0,0
Matty Cash,True,False,26,0,0,1,4,7,1006,8,55,26,43,21,15,0,0,0,0
Leon Bailey,True,False,33,0,4,4,4,51,547,30,14,6,12,29,22,0,0,0,0
Diego Carlos,True,False,3,205,0,0,0,4,142,1,1,1,2,2,0,0,0,0,0
Boubacar Kamara,True,False,24,0,0,1,4,4,941,7,58,19,24,34,31,0,0,0,0
Youri Tielemans,False,False,31,0,3,2,4,29,1623,30,66,28,24,33,25,0,0,0,0
Clement Lenglet,False,False,26,0,0,2,4,13,1465,6,38,18,68,23,17,0,0,0,0
Alex Moreno,True,False,19,0,0,3,3,13,745,22,23,7,37,17,11,0,0,0,0
Illia Zabarnyi,True,False,5,299,0,0,0,0,200,0,4,3,14,1,2,0,0,0,0
Dominic Solanke,True,False,33,0,6,7,2,76,533,21,15,6,46,40,53,0,0,0,0
Ryan Christie,True,False,32,0,1,1,2,33,651,30,34,26,20,36,45,0,0,0,0
Neto,True,False,27,0,0,0,4,0,833,0,3,0,10,0,4,0,0,0,100
Lewis Cook,True,False,28,0,0,2,4,6,751,24,37,23,31,15,10,0,0,0,0
Marcos Senesi,True,False,31,0,2,0,7,8,1322,5,50,43,146,29,13,0,0,0,0
Justin Kluivert,False,False,26,0,6,0,4,43,399,23,17,7,4,24,19,0,0,0,0
Adam Smith,True,False,37,0,0,1,11,5,1264,16,49,25,81,29,27,0,0,0,0
Marcus Tavernier,True,False,23,0,5,4,1,37,724,19,33,9,23,21,28,0,0,0,0
Antoine Semenyo,True,False,11,258,1,0,0,3,57,2,1,2,4,6,5,0,0,0,0
Milos Kerkez,False,False,33,0,3,1,4,25,1592,31,54,31,59,38,37,0,0,0,0
Lloyd Kelly,True,False,23,0,0,2,3,3,1164,7,33,26,101,17,5,0,0,0,0
Philip Billing,True,False,36,0,7,1,5,38,1055,26,63,31,58,30,35,0,0,0,0
Max Aarons,False,False,45,0,1,3,10,20,2536,40,84,48,75,23,57,0,0,0,0
Dango Ouattara,True,False,19,0,1,3,1,26,334,18,28,13,29,6,15,0,0,0,0
Mark Flekken,False,False,34,0,0,0,0,0,1468,4,0,0,9,0,3,0,0,0,106
Vitaly Janelt,True,False,35,0,3,1,3,14,1020,16,54,29,26,22,21,0,0,0,0
Christian Norgaard,True,False,22,0,1,3,6,19,812,12,52,34,41,35,20,0,0,0,0
Nathan Collins,False,False,26,0,0,0,2,3,1138,2,27,21,84,17,9,0,0,0,0
Yoane Wissa,True,False,38,0,7,3,3,32,344,13,17,6,15,21,26,0,0,0,0
Ethan Pinnock,True,False,30,0,3,0,0,15,1149,8,52,35,215,6,10,0,0,0,0
